thema,tijdvak,omschrijving
Hunebedden,ca. 3000 voor Christus,Vroege landbouwers
De Romeinse Limes,Op de grens van de Romeinse wereld,
Willibrord,658-739,Verbreiding van het Christendom
Karel de Grote,742-814,Keizer van het avondland
Hebban olla vogala,ca. 1100,Het Nederlands op schrift
Floris V,1254-1296,Een Hollandse graaf en ontevreden edelen
De Hanze,1356 - ca. 1450,Handelssteden in de Lage Landen
Erasmus,1466?-1536,Een internationaal humanist
Keizer Karel V,1500-1558,De Nederlanden als bestuurlijke eenheid
De Beeldenstorm,1566,Godsdienststrijd
Willem van Oranje,1533-1584,Van rebelse edelman tot 'vader des vaderlands'
De Republiek,1588-1795,Een staatkundig unicum
De Verenigde Oost-Indische Compagnie,1602-1799,Overzeese expansie
De Beemster,1612,Nederland en het water
De Grachtengordel,1613 - 1662,Stadsuitbreidingen in de zeventiende eeuw
Hugo de Groot,1583-1645,Pionier van het moderne volkenrecht
De Statenbijbel,1637,Het boek der boeken
Rembrandt,1606?-1669,De grote schilders
De Atlas Maior van Blaeu,1662,De wereld in kaart
Michiel de Ruyter,1607-1676,Zeehelden en de brede armslag van de Republiek
Christiaan Huygens,1629-1695,Wetenschap in de Gouden Eeuw
Spinoza,1632-1677,Op zoek naar de waarheid
Slavernij,ca. 1637-1863,Mensenhandel en gedwongen arbeid in de Nieuwe Wereld
Buitenhuizen,17e en 18e eeuw,Rijk wonen buiten de stad
Eise Eisinga,1744-1828,De Verlichting in Nederland
De Patriotten,1780-1795,Crisis in de Republiek
Napoleon Bonaparte,1769-1821,De Franse tijd
Koning Willem I,1772-1843,Het Verenigd Koninkrijk der Nederlanden
De eerste spoorlijn,1839,De versnelling
De Grondwet,1848,De belangrijkste wet van een staat
Max Havelaar,1860,Aanklacht tegen wantoestanden in Indi
Verzet tegen kinderarbeid,19e eeuw,"De werkplaats uit, de school in"
Vincent van Gogh,1853-1890,De moderne kunstenaar
Aletta Jacobs,1854-1929,Vrouwenemancipatie
De Eerste Wereldoorlog,1914-1918,Oorlog en neutraliteit
De Stijl,1917-1931,Revolutie in vormgeving
De crisisjaren,1929-1940,Samenleving in depressie
De Tweede Wereldoorlog,1940-1945,Bezetting en bevrijding
Anne Frank,1929-1945,Jodenvervolging
Indonesi ,1945-1949,Een kolonie vecht zich vrij
Willem Drees,1886-1988,De verzorgingsstaat
De Watersnood van 1953,1 februari 1953,De dreiging van het water
De televisie,vanaf 1948,De doorbraak van een massamedium
Haven van Rotterdam,vanaf ca. 1880,Poort naar de wereld
Annie M.G. Schmidt,1911-1995,Tegendraads in een burgerlijk land
Suriname en de Nederlandse Antillen,vanaf 1945,Dekolonisatie van de West
Srebrenica,1995,De dilemma's van vredeshandhaving
Veelkleurig Nederland,vanaf 1945,De multiculturele maatschappij
De gasbel,1959-2030?,Een eindige schat
Europa,vanaf 1945,Nederlanders en Europeanen
